YEAR,STATE,RATE,DEATHS,2016 Rate,2016 Deaths,Percent change in rate ,Percent Change in Deaths
2021,AL,26.4,1315,21.5,1046,,
2021,AK,25.2,182,23.3,177,,
2021,AZ,18.3,1365,15.2,1094,,
2021,AR,23.3,698,17.8,541,,
2021,CA,9,3576,7.9,3184,,
2021,CO,17.8,1064,14.3,812,,
2021,CT,6.7,248,4.6,172,,
2021,DE,16.6,158,11,111,,
2021,FL,14.1,3142,12.6,2704,,
2021,GA,20.3,2200,15,1571,,
2021,HI,4.8,71,4.5,66,,
2021,ID,16.3,309,14.6,242,,
2021,IL,16.1,1995,11.7,1490,,
2021,IN,18.4,1251,15,997,,
2021,IA,11.2,364,9.2,288,,
2021,KS,17.3,503,13.4,383,,
2021,KY,21.1,947,17.5,772,,
2021,LA,29.1,1314,21.3,987,,
2021,ME,12.6,178,8.3,123,,
2021,MD,15.2,915,11.9,707,,
2021,MA,3.4,247,3.4,242,,
2021,MI,15.4,1544,12.3,1230,,
2021,MN,10,573,7.6,432,,
2021,MS,33.9,962,19.9,587,,
2021,MO,23.2,1414,19,1144,,
2021,MT,25.1,280,18.9,194,,
2021,NE,10.3,200,9.1,171,,
2021,NV,19.8,633,16.8,498,,
2021,NH,8.3,123,9.3,132,,
2021,NJ,5.2,475,5.5,485,,
2021,NM,27.8,578,18.1,383,,
2021,NY,5.4,1078,4.4,900,,
2021,NC,17.3,1839,13.7,1409,,
2021,ND,16.8,128,11.9,90,,
2021,OH,16.5,1911,12.9,1524,,
2021,OK,21.2,836,19.6,766,,
2021,OR,14.9,670,11.9,513,,
2021,PA,14.8,1905,12,1555,,
2021,RI,5.6,64,4.1,49,,
2021,SC,22.4,1136,17.7,891,,
2021,SD,14.3,128,13.4,108,,
2021,TN,22.8,1569,17.1,1148,,
2021,TX,15.6,4613,12.1,3353,,
2021,UT,13.9,450,12.9,370,,
2021,VT,11.9,83,11.1,78,,
2021,VA,14.3,1248,12.1,1049,,
2021,WA,11.2,896,9,686,,
2021,WV,17.3,319,17.5,332,,
2021,WI,13.5,793,11.4,664,,
2021,WY,26.1,155,17.4,101,,
