index,State,Year,Value,Notes
1,NH,2016,165164,Strengthens its preemption laws to prevent local jurisdictions from enacting firearm regulations that exceed state laws.
2,NJ,2016,121853,
3,WV,2016,242350,"Permitless carry takes effect, allowing individuals to openly carry weapons without a permit."
4,MA,2016,226212,Introduces regulations mandating secure firearm storage to prevent access by unauthorized individual.
5,ME,2016,111582,
6,NM,2016,161216,Discusses potential firearm dealer licensing requirements to enhance oversight of gun sales and prevent illegal sales and regulate dealers.
7,MS,2016,276161,"Passes ""stand your ground law"", which allows individuals to use deadly force in self-defense without a duty to retreat."
8,NH,2017,129090,Introduces stricter penalties for individuals convicted of gun-related crimes to deter illegal firearm use.
9,NJ,2017,103739,
10,WV,2017,222768,"Strengthens reporting of mental health records to NICS, aiming to prevent individuals from mental health concerns from accessing firearms."
11,MA,2017,206492,Passes legislation that requires individuals to obtain a firearms identification card to purchase ammunition.
12,ME,2017,96590,
13,NM,2017,159779,Introduces legislation enforcing stricter penalties for individuals involved in gun trafficking to deter illegal firearm transfers and trafficking activities.
14,MS,2017,251852,"Imposes stricter penalties for individuals convicted of gun-related crimes, aiming to deter illegal firearm use."
15,NH,2018,120889,Introduces guidelines promoting responsible firearm storage practices to prevent unauthorized access in households with minors particularly.
16,NJ,2018,93124,
17,WV,2018,241678,Individuals with valid out-of-state concealed carry permits can carry in WV.
18,MA,2018,211295,"Implements ""red flag"" laws, allowing authorities and family members to seek temporary firearm removal from individuals showing signs of danger."
19,ME,2018,93360,
20,NM,2018,156853,Introduces guidelines to promote responsible firearm storage practices especially in homes with minors to prevent unauthorized access and accidents.
21,MS,2018,247278,Prevents local jurisdictions from enacting firearm regulations that exceed state laws.
22,NH,2019,112173,Tightens the background check process for concealed carry permit applicants with focusing on mental health history and criminal records.
23,NJ,2019,91257,
24,WV,2019,206196,Passes laws promoting responsible firearm storage and holding adults accountable for preventing children from accessing firearms.
25,MA,2019,212316,Tightens background checks for all firearm transfers.
26,ME,2019,90626,
27,NM,2019,156829,Requires legislation for background checks on all firearm sales including private transactions to regulate access and prevent unauthorized sales.
28,MS,2019,238388,"Enhances background checks for concealed carry applicants, focusing on mental health history and criminal records."
29,NH,2020,174662,Enacts legislation allowing family members and law enforcement to petition for temporary firearm removal from individuals in mental health crisis.
30,NJ,2020,177901,
31,WV,2020,265705,Individuals can carry concealed firearms without a concealed carry permit.
32,MA,2020,262583,"Extends mandatory waiting time for firearm purchases, allowing for more time for background checks."
33,ME,2020,137149,
34,NM,2020,206252,Adopts “red flag” laws allowing family members and law enforcement to seek temporary firearm removal for individuals posing risks.
35,MS,2020,366829,Passes regulations requiring reporting lost or stolen firearms to law enforcement.
36,NH,2021,151853,Enacts legislation allowing family members and law enforcement to petition for temporary firearm removal from individuals in mental health crisis.
37,NJ,2021,223437,
38,WV,2021,224240,Strengths regulation of firearm dealers.
39,MA,2021,259248,Introduces stricter penalties for individuals convicted of gun-related crimes.
40,ME,2021,129193,
41,NM,2021,194989,Discusses the potential adoption of a “stand your ground” law allowing individuals to use deadly force in self-defense.
42,MS,2021,323319,"Proposes legislation to enhance firearm training requirements for concealed carry applicants, emphasizing responsible gun ownership."
